VID,Year,Make,Model,Trim,VIN,Value
151665,05,ACURA,CANADIAN MODEL,1.7EL,2HHES368-5,6975
159093,03,ACURA,CANADIAN MODEL,1.7EL,2HHES368-3,4600
11314Y,00,ACURA,CANADIAN MODEL,CAN 3D A ---,---DC444-Y,2750
100153,03,ACURA,CL SERIES,3.2 ---- -,---YA424-3,4825
100163,03,ACURA,CL SERIES,3.2 NAV  -,---YA425-3,4825
100183,03,ACURA,CL SERIES,3.2 ---- S,---YA4-6-3,5350
100173,03,ACURA,CL SERIES,3.2 NAV  S,---YA4-7-3,5350
108012,02,ACURA,CL SERIES,3.2 ---- -,---YA424-2,4025
108022,02,ACURA,CL SERIES,3.2 NAV  -,---YA425-2,4025
108042,02,ACURA,CL SERIES,3.2 ---- S,---YA426-2,4450
108032,02,ACURA,CL SERIES,3.2 NAV  S,---YA427-2,4450
100401,01,ACURA,CL SERIES,3.2 ---- -,---YA424-1,3250
100371,01,ACURA,CL SERIES,3.2 NAVI -,---YA425-1,3250
100391,01,ACURA,CL SERIES,3.2 ---- S,---YA426-1,3550
100381,01,ACURA,CL SERIES,3.2 NAVI S,---YA427-1,3550
11051X,99,ACURA,CL SERIES,3.0 ---- A,---YA225-X,2650
11053X,99,ACURA,CL SERIES,2.3 ---- M,---YA315-X,2400
11052X,99,ACURA,CL SERIES,2.3 ---- A,---YA325-X,2400
11014W,98,ACURA,CL SERIES,3.0 ---- A,---YA224-W,1775
11013W,98,ACURA,CL SERIES,3.0 PREM A,---YA225-W,2000
11011W,98,ACURA,CL SERIES,2.2 ---- M,---YA314-W,1600
11010W,98,ACURA,CL SERIES,2.2 PREM M,---YA315-W,1900
11012W,98,ACURA,CL SERIES,2.2 ---- A,---YA324-W,1600
11009W,98,ACURA,CL SERIES,2.2 PREM A,---YA325-W,1900
24299D,13,ACURA,ILX,BASE 2.0L,19VDE1F3-D,24700
24300D,13,ACURA,ILX,PREMIUM 2.0L,19VDE1F5-D,27800
24301D,13,ACURA,ILX,TECH 2.0L,19VDE1F7-D,29925
24302D,13,ACURA,ILX,PREMIUM 2.4L,19VDE2E5-D,27800
24303D,13,ACURA,ILX,HYBRID,19VDE3F3-D,27600
24304D,13,ACURA,ILX,HYBRID TECH,19VDE3F7-D,32825
109831,01,ACURA,INTEGRA,LS  4D M ---,---DB755-1,3250
109861,01,ACURA,INTEGRA,GS  4D M ---,---DB756-1,3700
109841,01,ACURA,INTEGRA,LS  4D A ---,---DB765-1,3250
109851,01,ACURA,INTEGRA,GS  4D A ---,---DB766-1,3700
109901,01,ACURA,INTEGRA,GSR 4D M ---,---DB859-1,4200
109911,01,ACURA,INTEGRA,R   4D M ---,---DC231-1,9650
109891,01,ACURA,INTEGRA,GSR 3D M ---,---DC239-1,4300
109811,01,ACURA,INTEGRA,LS  3D M ---,---DC435-1,3350
109871,01,ACURA,INTEGRA,GS  3D M ---,---DC436-1,3775
109821,01,ACURA,INTEGRA,LS  3D A ---,---DC445-1,3350
109881,01,ACURA,INTEGRA,GS  3D A ---,---DC446-1,3775
10951Y,00,ACURA,INTEGRA,LS  4D M ---,---DB755-Y,2775
10950Y,00,ACURA,INTEGRA,GS  4D M ---,---DB756-Y,3200
10952Y,00,ACURA,INTEGRA,LS  4D A ---,---DB765-Y,2775
10949Y,00,ACURA,INTEGRA,GS  4D A ---,---DB766-Y,3200
10948Y,00,ACURA,INTEGRA,GSR 4D M ---,---DB859-Y,3600
11081Y,00,ACURA,INTEGRA,T-R 3D M ---,---DC231-Y,8550
10947Y,00,ACURA,INTEGRA,GSR 3D M ---,---DC239-Y,3725
10944Y,00,ACURA,INTEGRA,LS  3D M ---,---DC435-Y,2875
10945Y,00,ACURA,INTEGRA,GS  3D M ---,---DC436-Y,3300
10943Y,00,ACURA,INTEGRA,LS  3D A ---,---DC445-Y,2875
10946Y,00,ACURA,INTEGRA,GS  3D A ---,---DC446-Y,3300
11049X,99,ACURA,INTEGRA,LS  4D M ---,---DB755-X,2250
11047X,99,ACURA,INTEGRA,GS  4D M ---,---DB756-X,2700
11050X,99,ACURA,INTEGRA,LS  4D A ---,---DB765-X,2250
11048X,99,ACURA,INTEGRA,GS  4D A ---,---DB766-X,2700
11046X,99,ACURA,INTEGRA,GSR 4D M ---,---DB859-X,3050
11045X,99,ACURA,INTEGRA,GSR 3D M ---,---DC239-X,3150
11041X,99,ACURA,INTEGRA,LS  3D M ---,---DC435-X,2350
11044X,99,ACURA,INTEGRA,GS  3D M ---,---DC436-X,2775
11042X,99,ACURA,INTEGRA,LS  3D A ---,---DC445-X,2350
